ADDON_DEP_NOT_DEMAND_LOADED,Зависимая модификация загружается только по требованию
ADDON_NOT_DEMAND_LOADED,Загружается только по требованию
AMMO_DAMAGE_TEMPLATE,Добавляет %g ед. урона в секунду
AMMO_SCHOOL_DAMAGE_TEMPLATE,Добавляет %g ед. урона (%s) в секунду
ARMOR_TEMPLATE,Броня: %d
BILLING_NAG_WARNING_P1,Оплаченное время игры истекает через %d минут
CHAT_MSG_DND,Не беспокоить
CHAT_MSG_IGNORED,Игнорируется
CHAT_PLAYER_BANNED_NOTICE,[%1$s] %3$s блокирует %2$s.
CHAT_PLAYER_KICKED_NOTICE,[%1$s] %3$s исключает %2$s.
COMBAT_TEXT_COMBO_POINTS_P1,<%d приемов в серии>
COMBAT_TEXT_HONOR_GAINED,Честь: %s
COMBAT_TEXT_SHOW_MANA_TEXT,Восполнение энергии
CONFIRM_TALENT_WIPE,"Вы уверены, что хотите отказаться от всех своих талантов? C каждым разом это будет обходиться все дороже."
COPPER,медных монет
DAMAGE_TEMPLATE,Урон: %d-%d
DAMAGE_TEMPLATE_WITH_SCHOOL,%d - %d ед. %s
DAYS_ABBR,д.
DAYS_ABBR_P1,д.
DAYS,день
DAYS_P1,дней
DISABLE_SPAM_FILTER,Фильтр навязчивой рекламы
DPS_TEMPLATE,(%.1f ед. урона в секунду)
ENABLE_ALL_SOUND,Включить звук
ENERGY_COST,Энергия: %d
ENERGY_COST_PER_TIME,Энергия: %d плюс %d/сек.
ERR_GUILD_NAME_NAME_CONSECUTIVE_SPACES,Названия не могут начинаться и заканчиваться пробелом. Введите другое название.
ERR_INVITED_TO_GROUP_S,%s предлагает вам присоединиться к группе.
ERR_INVITED_TO_GUILD_SS,"%s предлагает вам присоединиться к гильдии ""%s""."
ERR_QUEST_REWARD_ITEM_S,Получен предмет: %s.
FOCUS_COST,Тонус: %d
FOCUS_COST_PER_TIME,Тонус: %d плюс %d/сек.
GENERIC_MIN_P1,%d минут
GENERIC_SEC_P1,%d секунд
GOLD,золотых
GUILD_TOTAL_P1,Членов гильдии: |cffffffff%d|r
GUILDCONTROL_OPTION1,Читать гильд. чат
GUILDCONTROL_OPTION2,Исп. гильд. чат
GUILDCONTROL_OPTION3,Читать офиц. чат
GUILDCONTROL_OPTION4,Исп. офиц. чат
HEALTH_COST,Здоровье: %d
HEALTH_COST_PER_TIME,Здоровье: %d плюс %d/сек
HELPFRAME_ACCOUNT_ENDTEXT,"По любым вопросам, связанным с вышеуказанными проблемами, обращайтесь в службу поддержки по вопросам биллинга и учетных записей:\n\nПо телефону:  |cffffd200(800) 59-BLIZZARD|r\nЧерез Интернет:  |cffffd200www.blizzard.com/support/wowbilling|r\nПо электронной почте:  |cffffd200billing@blizzard.com|r \n\nМы также рекомендуем вам проверить страницу управления учетной записью по адресу: \n\n|cffffd200www.worldofwarcraft.com/account|r \n\nНа странице управления учетной записью вы можете просматривать информацию о своей подписке, добавлять игровые карты и получать доступ к другим важным функциям и параметрам учетной записи."
HELPFRAME_TECHNICAL_BULLET_TITLE2,"Возможно, решение вашей проблемы уже опубликовано на форуме технической поддержки, расположенном на сайте World of Warcraft по адресу:\n\nwww.worldofwarcraft.com\n\nЕсли ваша техническая проблема не решена с помощью опубликованных там решений, обратитесь в наш отдел технической поддержки:\n\nПо телефону:  (949) 955-1382\nЧерез Интернет:  www.blizzard.com/support/wow\nПо электронной почте:  wowtech@blizzard.com"
HOURS_ABBR,ч.
HOURS_ABBR_P1,ч.
HOURS,час
HOURS_P1,часов
INT_SPELL_DURATION_HOURS_P1,%d часов
INT_SPELL_POINTS_SPREAD_TEMPLATE,%d - %d
ITEM_COOLDOWN_TIME_DAYS_P1,Времени до восстановления: %d дней
ITEM_COOLDOWN_TIME_HOURS_P1,До восстановления: %d часов
ITEM_ENCHANT_TIME_LEFT_DAYS_P1,%s (%d дней)
ITEM_ENCHANT_TIME_LEFT_HOURS_P1,%s (%d часов)
ITEM_SPELL_CHARGES_P1,%d зарядов
LASTONLINE_DAYS_P1,%d дней
LASTONLINE_HOURS_P1,%d часов
LASTONLINE_MONTHS_P1,%d месяцев
LASTONLINE_YEARS_P1,%d лет
LEVEL_UP_CHAR_POINTS_P1,Вы получили %d очков талантов.
LEVEL_UP_SKILL_POINTS_P1,У вас сейчас %d свободных профессий.
LOG_PERIODIC_EFFECTS,Периодический урон
LOOT_ROLL_ALL_PASSED,все отказываются от: %s|Hitem:%d:%d:%d:%d|h[%s]|h%s.
LOOT_ROLL_GREED,"Разыгрывается: %2$s|Hitem:%3$d:%4$d:%5$d:%6$d|h[%7$s]|h%8$s. %1$s говорит: ""Не откажусь""."
LOOT_ROLL_GREED_SELF,"Разыгрывается: %s|Hitem:%d:%d:%d:%d|h[%s]|h%s. Вы сказали: ""Не откажусь""."
